,name,workshop_date,position,text_length,num_upvotes,talker,quarter
386,MegicLF,2019-11-14,60,61,1,Terman,F
387,Yiqing-Zh,2019-11-14,61,25,0,Terman,F
388,sunying2018,2019-11-14,62,19,0,Terman,F
389,di-Tong,2019-11-14,63,23,2,Terman,F
390,luyingjiang,2019-11-14,64,33,0,Terman,F
391,hanjiaxu,2020-01-09,0,28,46,Boudourides,W
392,SoyBison,2020-01-09,1,29,46,Boudourides,W
393,wanitchayap,2020-01-09,2,33,50,Boudourides,W
394,nwrim,2020-01-09,3,105,54,Boudourides,W
395,zeyuxu1997,2020-01-09,4,41,38,Boudourides,W
396,hihowme,2020-01-09,5,53,32,Boudourides,W
397,Yilun0221,2020-01-09,6,26,21,Boudourides,W
398,ydeng117,2020-01-09,7,40,14,Boudourides,W
399,lulululugagaga,2020-01-09,8,16,13,Boudourides,W
400,ziwnchen,2020-01-09,9,39,32,Boudourides,W
401,chun-hu,2020-01-09,10,15,9,Boudourides,W
402,tianyueniu,2020-01-09,11,11,12,Boudourides,W
403,anuraag94,2020-01-09,12,39,4,Boudourides,W
404,romanticmonkey,2020-01-09,13,31,2,Boudourides,W
405,anqi-hu,2020-01-09,14,27,13,Boudourides,W
406,timqzhang,2020-01-09,15,36,8,Boudourides,W
407,RuoyunTan,2020-01-09,16,95,20,Boudourides,W
408,adarshmathew,2020-01-09,17,112,33,Boudourides,W
409,linghui-wu,2020-01-09,18,70,9,Boudourides,W
410,goldengua,2020-01-09,19,14,0,Boudourides,W
411,ShuyanHuang,2020-01-09,20,22,5,Boudourides,W
412,WMhYang,2020-01-09,21,60,3,Boudourides,W
413,KenChenCompEcon,2020-01-09,22,29,4,Boudourides,W
414,dhruvalb,2020-01-09,23,30,9,Boudourides,W
415,YuxinNg,2020-01-09,24,43,1,Boudourides,W
416,ruixili,2020-01-09,25,41,14,Boudourides,W
417,ShanglunLi,2020-01-09,26,19,6,Boudourides,W
418,nswxin,2020-01-09,27,24,0,Boudourides,W
419,TianxinZheng,2020-01-09,28,18,3,Boudourides,W
420,SiyuanPengMike,2020-01-09,29,36,5,Boudourides,W
421,Leahjl,2020-01-09,30,12,0,Boudourides,W
422,bjcliang-uchi,2020-01-09,31,41,4,Boudourides,W
423,yongfeilu,2020-01-09,32,18,2,Boudourides,W
424,di-Tong,2020-01-09,33,27,3,Boudourides,W
425,harryxiong13,2020-01-09,34,9,3,Boudourides,W
426,weijiexu-charlie,2020-01-09,35,30,1,Boudourides,W
427,liu431,2020-01-09,36,41,7,Boudourides,W
428,chiayunc,2020-01-09,37,38,3,Boudourides,W
429,dongchengecon,2020-01-09,38,52,0,Boudourides,W
430,HaowenShang,2020-01-09,39,19,0,Boudourides,W
431,yutianlai,2020-01-09,40,13,0,Boudourides,W
432,ChivLiu,2020-01-09,41,17,0,Boudourides,W
433,YanjieZhou,2020-01-09,42,27,3,Boudourides,W
434,skanthan95,2020-01-09,43,27,5,Boudourides,W
435,rkcatipon,2020-01-09,44,61,8,Boudourides,W
